,ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES
6815,840,USA673,673,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Illinois,Saint Clair,,East Saint Louis,38.624,-90.15100000000001,1,Belleville News-Democrat,Subnational,"On 19 June 2020, about 30 demonstrators protested in East Saint Louis, Illinois celebrating Juneteenth in support of the Black Lives Matter Movement and against police brutality after the death of George Floyd. [size=about 30]",0
6816,840,USA677,677,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Oregon,Deschutes,,Bend,44.058,-121.315,1,Bend Bulletin,Subnational,"On 19 June 2020, hundreds of people marched for Juneteenth in Bend (Oregon) and in the wake of Black Lives Matter movement and against police brutality and the death of George Floyd. [size=hundreds]",0
6817,840,USA691,691,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,North Dakota,Cass,,Fargo,46.876999999999995,-96.79,1,Bismarck Tribune,Subnational,"On 19 June 2020, several hundred people staged a demonstration in Fargo (North Dakota) on the occasion of Juneteenth, gathering at a park and then marched to City Hall. They also demonstrated support of the Black Lives Matter movement and against Police brutality and the death of George Floyd. [size=over several hundred]",0
6818,840,USA696,696,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; Health Workers (United States),6,,,0,60,North America,United States,California,Los Angeles,,Duarte,34.14,-117.962,1,California Nurses Association,Other,"On 19 June 2020, nurses held a candlelight vigil to protest in Duarte (California), outside the City of Hope Medical Center, honoring Juneteenth, which commemorates the ending of slavery in the United States. The protest took place in the midst of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=no report]",0
6819,840,USA698,698,2020-6-19,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-) Prison Guards,,1,Civilians (United States),Prisoners (United States),7,17,North America,United States,Florida,Lake,,Clermont,28.549,-81.773,1,CBS News,National,"On 19 June 2020, an inmate at Lake Correctional Institution in Clermont (Lake, Florida) was beaten to death by a correction's officer while he was still handcuffed. Two other officers watched this happen and did not intervene.",1
6820,840,USA699,699,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,California,Butte,,Chico,39.728,-121.837,1,CBS12 (Chico),Subnational,"On 19 June 2020, hundreds of people gathered in protest in Chico (California) honoring Juneteenth, which commemorates the ending of slavery in the United States. The protest took place in the midst of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=hundreds]",0
6821,840,USA738,738,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,California,San Diego,,San Diego,32.717,-117.166,1,CBS8 (San Diego),Subnational,"On 19 June 2020, hundreds people held a sit-in protest in San Diego (California), in Balboa Park, honoring Juneteenth, which commemorates the ending of slavery in the United States. The protest took place in the midst of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=hundreds]",0
6822,840,USA746,746,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Tennessee,Hamilton,,Chattanooga,35.046,-85.31,1,Channel 3 (Chattanooga),Subnational,"On 19 June 2020, an unknown number of protesters, including Chattanooga's Mayor, marched in Chattanooga (Hamilton, Tennessee) for a prayer walk to celebrate Juneteenth. [size=no report]",0
6823,840,USA768,768,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Illinois,Cook,,Chicago,41.85,-87.65,1,Chicago Tribune,Subnational,"On 19 June 2020, thousands gathered for marches downtown in Chicago (Illinois) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd, but also to commemorate Juneteenth, traditionally celebrated to mark the end of slavery in the United States. [size=thousands]",0
6824,840,USA774,774,2020-6-19,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Ohio,Cuyahoga,,Euclid,41.593,-81.527,1,Clevelanddotcom,Subnational,"On 19 June 2020, about 70 people marched at Euclid Creek Reservation in Euclid (Ohio) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The march was called ""Juneteenth Black Lives Matter"", was aiming for toddlers to be able to participate. [size=about 70]",0
